Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
120,Detail of Agencies Collecting Fee on Toll Plazas in 2015 (From :Ministry of Road Transport And Highways) - Tripura,527de9d8-9c01-4174-8547-f9714642eea4,2023-10-21,406,0
121,Total Number of Road Accidents on National Highways from 2012 to 2014 (From :Ministry of Road Transport And Highways) - Uttar Pradesh,1257e475-ada8-43e4-b172-287ec0394bb3,2023-10-21,113,0
122,State-wise details of construction of 2/4/6/8 lanes wise National Highways from 2014-15 to 2015-16 (From :Ministry of Road Transport And Highways) - Uttarakhand,63a7bc3d-31d3-4df4-b759-d00870cfb252,2023-10-21,73,0
123,Details of revenue received from public funded toll plazas with NHAI during 2012-15 (From :Ministry of Road Transport And Highways) - West Bengal,1b5d0447-c4f2-4e1f-a7db-6c660e65d4b1,2023-10-21,201,0
124,Details of accidents caused by drivers during 2012 to 2014 (From :Ministry of Road Transport And Highways) - Andaman and Nicobar Islands,31c8a2a4-1979-47be-b82c-a416ce2b01ed,2023-10-21,303,0
125,"State/UT-wise Ongoing Projects for Construction and Development of the National Highways (in reply to Unstarred Question on 25 November, 2019) (From: Ministry of Road Transport and Highways) - Chandigarh",e96c43a1-e790-451c-9d47-e77879156105,2023-10-21,350,0
126,State/UT-wise National Highways Constructed Across the Country during 2019 (From: Ministry of Road Transport and Highways) - Dadra and Nagar Haveli,d6b5d7d5-aed5-44af-8207-a25486132039,2023-10-21,356,0
127,"State-wise Proposals Regarding Development of Inner Parts of the Cities through State PWD for which National Highway Bypasses Approved (in reply to Unstarred Question on 25 November, 2019) (From: Ministry of Road Transport and Highways) - Daman and Diu",dbacff3e-6585-48a7-8326-d666ae795c4c,2023-10-21,259,0
128,State/UT-wise National Highways Constructed Across the Country from 2014-15 to 2018-19 (From: Ministry of Road Transport and Highways) - Lakshadweep,8cba73e1-78a5-479c-b30e-848ea486784d,2023-10-21,490,0
129,Expenditure incurred on National Highways Entrusted with the NHAI from 2014-15 to 2019-20 (From: Ministry of Road Transport and Highways) - Delhi,f36606df-5382-432a-9923-cef1e6f5860c,2023-10-21,158,0
130,State/UT-wise National Highways Constructed Across the Country from 2017-18 to 2019-20 (From: Ministry of Road Transport and Highways) - Puducherry,26834102-2c62-4c90-bf12-dd54b1b78167,2023-10-21,210,0
131,State-wise details of state highways length which have been converted into national highways during 2013-14 to 2015-16(From:Ministry of Road Transport & Highways) - Ladakh,446ce18c-3e54-4d85-910c-37f84fa45b6e,2023-10-20,99,0
