Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
135,Number of inhabited and uncovered villages for mobile services in South Gujarat as per Census 2011 (From : Ministry of Communications),6ae5d641-6c50-4170-bf0d-fe226d96a285,2023-12-05,118,0
136,Religion-wise population of all the regions of Jammu & Kashmir as per Census 2011 (From : Ministry of Home Affairs) - Meghalaya,e04e48cc-7ffc-4bc5-9180-5d7fb963bc46,2023-12-05,498,0
137,State/UT-wise ST Population Engaged as Agriculture Labourers Census 2011 (From: Ministry of Social Justice and Empowerment) - Mizoram,d397a6c0-a644-4137-9239-c60f7f1d03ff,2023-12-03,319,0
138,"State/ UT-wise Total Beggars, Vagrants etc. in India as per Census 2011 (From: Ministry of Social Justice & Empowerment ) - Nagaland",14b8697c-6116-4515-97a5-3d325a403c8b,2023-12-03,361,0
139,"State/ UT-wise Details of Senior Citizen Beggars, Vagrants etc. as per Census 2011 (From: Ministry of Social Justice & Empowerment ) - Odisha",082fd105-eeb8-4247-a387-cbed37f6edca,2023-12-03,265,0
140,"State/ UT-wise Child Beggars, Vagrants etc. below 15 years of age as per Census 2011 (From: Ministry of Social Justice & Empowerment ) - Punjab",8b1ff2fc-1c38-49ab-be3e-e06da8184872,2023-12-03,374,0
141,Child Sex Ratio as per Census during 2011 (From: Ministry of Health and Family Welfare ) - Rajasthan,99d1cb19-2e03-46b9-99d2-3d7c177ff8bb,2023-12-03,484,0
142,State/ UT-wise Houseless Population in India as per Census 2011 (From: Ministry of Housing and Urban Poverty Alleviation ) - Sikkim,71b55958-0979-421a-8823-6d3751c1e751,2023-12-03,367,0
143,State/ UT-wise Slum Population in India as per Census during 2011 (From: Ministry of Housing and Urban Poverty Alleviation) - Tamil Nadu,88391661-c1db-4561-b83a-35e1334d84df,2023-12-03,393,0
144,State/ UT-wise Houseless Population in India as per census during 2011 (From: Ministry of Housing and Urban Poverty Alleviation) - Telangana,3cb27185-9b51-4408-833d-febcd45c575a,2023-12-03,325,0
145,States/UT-wise population of Particularly Vulnerable Tribal Groups (PVTGs) as per Census 2011 (From: Ministry of Tribal Affairs) - Tripura,db3f6eba-0dc1-478a-9297-efcac2091a4b,2023-11-29,98,0
146,State-wise details of main workers in the age group of 5-14 years as per Census 2011 (From: Ministry of Labour and Employment) - Uttar Pradesh,1a346e9c-cc96-4acd-b81b-b50910f961b3,2023-11-29,163,0
147,State-wise number of operational holders as per Agriculture Census 2010-11 (From: Ministry of Agriculture and Farmers Welfare) - Uttarakhand,7af86583-30fc-4a18-baa4-8513f10e7516,2023-11-29,146,0
148,"Rank-wise Female Literacy Rate in the Country, as per the Census 2011 (in reply to Unstarred Question on 07.02.2019) (From : Ministry of Human Resource Development) - West Bengal",034bcdfd-1459-4940-a8d5-a40356eb1017,2023-11-21,313,0
149,State/UT-wise Average Size of Holdings as per Results of Agriculture Census 2015-16 (in reply to Unstarred Question on 08.02.2019) (From : Ministry of Agriculture and Farmers Welfare) - Andaman and Nicobar Islands,f667e7dd-6063-4ce2-8372-e337a6891db3,2023-11-21,152,0
150,"Area-wise details of Slum Households in Metropolitan Cities as per Census-2011 (in reply to Unstarred Question on 16 September, 2020) (From: Ministry of Housing and Urban Affairs) - Chandigarh",44a31f39-d900-4c3b-b564-1a35ea6062d4,2023-11-21,87,0
151,Ministry/Department-wise Existing Earmarking and Proposed Percentage of Earmarking DAPST (2011 Census) during 2017-18 (From: Ministry of Planning) - Dadra and Nagar Haveli,b18216ec-1538-4ab0-89ff-4005220715f3,2023-11-21,132,0
152,"India/State/UT-wise Literacy Rates of All Population, ST Population and Gaps: Census 2011 (in reply to Unstarred Question on 22 September, 2020) (From: Ministry of Tribal Affairs) - Daman and Diu",137e4bc1-e71b-4201-9f6b-2a0dda58982a,2023-11-21,214,0
